"NCT00004984","Inclusion Criteria:#          -  Individuals 3-45 years old who have an immediate family member with type 1 diabetes             (such as a child, parent, or sibling)#          -  Individuals 3-20 years old who have an extended family member with type 1 diabetes             (such as a cousin, niece, nephew, aunt, uncle, grandparent, or half-sibling)#        Exclusion Criteria:#          -  To be eligible, a person must:#          -  Not have diabetes already.#          -  Have no previous history of being treated with insulin or oral diabetes medications.#          -  Have not received any prior therapy for prevention of type 1 diabetes such as             insulin, nicotinamide, or immunosuppressive drugs (i.e. have not been involved in any             previous clinical studies of these agents.)#          -  Have no known serious diseases.#          -  If you are a woman, you must not be planning to become pregnant during the course of             the study. You will not be excluded from participation, but are not encouraged to             volunteer in the first place if you plan to have a baby during the trial period).","both","3 years","45 years"
"NCT00005665","Inclusion Criteria:#          -  Newly diagnosed type 1 diabetes (within one month of diagnosis).#          -  IDDM patients: Prepubescent, adolescent, or early adult patients.#        Exclusion Criteria:#          -  Patients below the age of 3 or over 25.#          -  Patients will not be eligible if they are on immunosuppressive or immunostimulatory             medications such as azathioprine, oral nicotinamide, superoxide             dismutase-desferroxamine, vitamin E, aminoguanidine, oral insulin or other             experimental therapies at any time.#          -  Patients with a history of alcoholism, renal, cardiac, or pulmonary disease or in             whom intellectual functioning is impaired sufficiently to interfere with the             understanding of the protocol, or participation in the treatment and evaluation             program#          -  Patients who are pregnant or nursing, or those who are not willing to practice an             acceptable birth control method#          -  Patients with abnormal pre-treatment values on WBC or who are receiving potentially             hepatotoxic medications","both","3 years","25 years"
"NCT00021788","Inclusion Criteria:#          -  Candidates must be between the ages of 18 and 65#          -  Candidates must have had IDDM for at least 5 years and been under physician care for             at least 6 months prior to enrollment in trial.#          -  Eligible candidates will have poorly controlled insulin-dependent diabetes mellitus             (IDDM) and manifest signs and symptoms severe enough to be incapacitating. These             symptoms can include episodes of hypoglycemic unawareness (failure to recognize blood             glucose levels < 54 mg/dl) or episodes requiring the assistance of others.#          -  Candidates may have poor diabetes control despite intensive insulin therapy (HbA1c >             8.0%).#          -  Creatinine clearance should be > 60 ml/min)#          -  Body Mass Index should be less than 26#          -  Women of child-bearing age must have a negative pregnancy test and agree to follow             effective contraceptive measures for the duration of the trial.#        Exclusion Criteria:#          -  Previous or concurrent organ transplant#          -  Previous or concurrent malignancy#          -  Untreated proliferative diabetic retinopathy#          -  Unstable cardiovascular status, including positive stress echocardiography (if > age             35)#          -  Active infections, including x-ray evidence of pulmonary infection#          -  Peptic ulcer disease, gall stones, or portal hypertension#          -  Abnormal liver function tests#          -  Presence of panel reactive antibodies > 20%#          -  Creatinine clearance < 60 ml/min#          -  HbA1c  12%#          -  Serological evidence of HIV, HbsAg, or HCV#          -  Anemia (hemoglobin < 12.0)#          -  Any condition or circumstance, including psychogenic factors, that preclude             therapeutic compliance or otherwise make it unsafe to undergo an islet cell             transplant.#          -  PSA > 4 in males","both","18 years","65 years"
"NCT00021801","Inclusion Criteria:#          -  Candidates must be between the ages of 18 and 50.#          -  Candidates must have had insulin-dependent diabetes mellitus (IDDM) for at least 5             years and been under physician care for at least 6 months prior to enrollment in             trial.#          -  Eligible candidates will have poorly controlled IDDM and manifest signs and symptoms             severe enough to be incapacitating. These symptoms can include episodes of             hypoglycemic unawareness (failure to recognize blood glucose levels < 54 mg/dl) or             episodes requiring the assistance of others.#          -  Candidates may have poor diabetes control despite intensive insulin therapy (HbA1c >             8.0%).#          -  Creatinine clearance should be > 60 ml/min)#          -  Body Mass Index should be less than 26#          -  Women of child-bearing age must have a negative pregnancy test and agree to follow             effective contraceptive measures for the duration of the trial.#        Exclusion Criteria:#          -  Previous or concurrent organ transplant#          -  Previous or concurrent malignancy#          -  Untreated proliferative diabetic retinopathy#          -  Unstable cardiovascular status, including positive stress echocardiography (if > age             35)#          -  Active infections, including x-ray evidence of pulmonary infection#          -  Peptic ulcer disease, gall stones, or portal hypertension#          -  Abnormal liver function tests#          -  Presence of panel reactive antibodies > 20%#          -  Creatinine clearance < 60 ml/min#          -  HbA1c > 12%#          -  Serological evidence of HIV, HbsAg, or HCV#          -  Anemia (hemoglobin < 12.0)#          -  Any condition or circumstance, including psychogenic factors, that preclude             therapeutic compliance or otherwise make it unsafe to undergo an islet cell             transplant.#          -  PSA > 4 in males","both","18 years","50 years"
"NCT00034255","Inclusion Criteria:#        Patients meeting all of the following inclusion criteria at screening can be considered        for admission to the study.#        Stage 1 and Stage 2:#          1. Male and female patients with, type 1 diabetes mellitus that are 18 through 70 years             of age, or type 2 diabetes mellitus that are 30 through 70 years of age.#          2. Patients who are insulin deficient and are diagnosed with type 1 or type 2 diabetes             mellitus, and are currently well managed with insulin, with or without metformin.#          3. Patients who have been on stable doses of insulin treatment for 90 days prior to             study randomization.#        Exclusion Criteria:#        Patients meeting any of the following exclusion criteria at screening will not be enrolled        in the study:#          1. Patients with a history of any clinically significant retinopathy, symptomatic             autonomic neuropathy, unstable angina, or kidney problems.#          2. Patients with an uncontrolled or untreated significant pulmonary, neurological             condition, or cardiovascular disease, including hypertension, congestive heart             failure, angina, or peripheral vascular disease.#          3. Patients who have received any investigational product within 30 days of admission             into the study.#          4. Patients with a history or clinical evidence of multiple organ autoimmune disorders.#          5. Patients with a medical condition, serious intercurrent illness, or extenuating             circumstance that would significantly decrease study compliance, including all             prescribed follow-up.#          6. Patients who are lactating and breastfeeding.","both","18 years","70 years"
"NCT00042458","Inclusion Criteria:#          -  HbA1c value between 7.5-9%#          -  Using multiple daily insulin injections","both","18 years",""
"NCT00042471","Inclusion Criteria:#          -  HbA1c value between 6-12%#          -  BMI <= 27 kg/m2 or BMI >=30 to <= 45 kg/m2#          -  Consistent insulin regimen for 2 months prior to screening","both","18 years","70 years"
"NCT00042601","For Healthy Volunteers:#          -  BMI >=20 to <=25kg/m2 or >=30 to <=40 kg/m2#        For Subjects with Type 1 or Type 2 Diabetes:#          -  Treated with insulin for at least 6 months prior to screening#          -  HbA1c value between 6.5-10% inclusive#          -  BMI between 20-40kg/m2","male","18 years","70 years"
"NCT00046150","INCLUSION CRITERIA:#        Subjects meeting all of the following criteria will be considered for enrollment into the        study:#          -  Men and women above the age of 18.#          -  Women are either not of childbearing potential (surgically sterile, or postmenopausal             for more than 2 years) or are not pregnant and agree to use a reliable contraceptive             measure for the duration of the study.  Reliable contraceptive measures include the             follows: systemic contraceptive (oral, implant, injections), diaphragm with             intravaginal spermicide, cervical cap, intrauterine device, or condom with             spermicide.#          -  Type 1 diabetes mellitus as established in the medical history (for the purpose of             this protocol: onset of diabetes under the age of 40 and has required continuous             insulin therapy since diagnosis).#          -  At least 1 year of continuous insulin treatment with at least 6 months of continuous             subcutaneous insulin infusion treatment immediately prior to study entry.#          -  Use of the same type of external insulin pump (MiniMed programmable pump, or             Disetronic pump type H Tron Plus V 100 or D Tron) for at least 3 months prior to             study entry.#          -  HbA1c <8.5% measured at visit 1.#          -  Ability and willingness to perform blood glucose monitoring using the             sponsor-provided blood glucose meter and subject diary at home.#        Informed consent must be obtained in writing for all subjects at enrollment into the study        (see Section 12.3).#        EXCLUSION CRITERIA:#        Subjects presenting with any of the following will not be included in the study:#          -  Active proliferative diabetic retinopathy, as defined by the application of focal or             panretinal photocoagulation or vitrectomy, in the 6 months prior to visit 1, or any             other unstable (rapidly progressing) retinopathy that may require surgical treatment             (including laser photocoagulation) during the study.#          -  Diabetes other than type 1 diabetes mellitus.#          -  History of serious ketosis episode requiring hospitalization in the 3 previous             months.#          -  History of abscess at the infusion site in the previous 3 months.#          -  Pancreatectomised subjects.#          -  Subjects who have undergone pancreas and or islet cell transplants.#          -  Likelihood of requiring treatment during the study period with drugs not permitted by             the study protocol (see Section 6.2).#          -  Treatment with any investigational drug in the last month before visit 1.#          -  History of seizure disorders.#          -  History of hypersensitivity to insulin or insulin analogues or any other excipients             in the HMR1964 or insulin aspart formulation (see the Global Investigators Brochure             [7] and the insulin aspart SPC [13] for a list of excipients).#          -  Clinically relevant cardiovascular, hepatic, neurologic, endocrine, active cancer, or             other major systemic disease making implementation of the protocol or interpretation             of the study results difficult or would, in the opinion of the investigator, preclude             the safe participation of the subject in this protocol.#          -  History of drug or alcohol abuse.#          -  Impaired hepatic function, as shown by but not limited to ALT or AST greater than             twice the normal upper limit measured at visit 1.#          -  Impaired renal function, as shown by but not limited to serum creatinine >177             micromol/L (>2.0 mg/dL) measured at visit 1.#          -  Pregnancy (as determined by pregnancy blood test at visit 1) or breast-feeding.#          -  Night shift workers.#          -  Mental condition rendering the subject unable to understand the nature, scope, and             possible consequences of the study.#          -  Subject unlikely to comply with protocol, e.g. an inability and unwillingness to             participate in adequate training, an uncooperative attitude, inability to return for             follow-up visits, and unlikelihood of completing the study.#          -  Employee of the sponsor or of sponsor representatives.#          -  Subjects who have previously been treated with HMR1964.","both","18 years",""
"NCT00063128","Inclusion Criteria:#          -  You are at least 18 years old.#          -  You have had type 1 diabetes for at least 2 years.#          -  You are injecting insulin lispro (Humalog), an insulin lispro mixture (Humalog             Mixture), regular human insulin mixture (Humulin mixture) before meals using a             syringe or injection pen, not an insulin pump.#          -  If you are female and could become pregnant, you test negative for pregnancy based on             blood test at the beginning of the study, do not intend to become pregnant, and agree             to use a form of birth control approved by the investigator during the study.#          -  You have not smoked for at least 1 year, and you agree not to smoke or use smokeless             tobacco during the study.#        Exclusion Criteria:#          -  You have used an experimental drug during the last 30 days or have ever taken part in             a study of any type of inhaled insulin.#          -  You have a history of asthma or allergies.#          -  You have a chronic cough.#          -  You have had a kidney transplant, are on dialysis, or have poor kidney function.#          -  You have a history of chest pain, heart attack, or you have a heart condition that             limits your physical activity due to discomfort.","both","18 years",""
