Variable name,variable representations,allowable units,exception units,preferred unit for normalization,minimum value by domain knowledge,maximum value by domain knowledge,domain knowledge source
HBA1C,glycated haemoglobin|glycated hemoglobin|glycosylated hemoglobin|hemoglobin A1c| HemoglobinA1c|hgba1c|hga1c|hba1c|ha1c|ba1c|a1c|hb1c,%|percent,ALL_OTHER,%,4,12,http://www.medicinenet.com/hemoglobin_a1c_test/article.htm
Glucose,ogtt glucose|fasting blood glucose|fasting plasma glucose|fasting plasma|glucose|dextrose|grape sugar|plasmatic level of sugar|FPG|OGTT|FBS|Fasting blood sugar|FBG,mg/dl|g/l|mmol/l|mmol|millimoles/liter,TEMPORAL|%|percentiu|uiu|kg/m2|kg|nmol|/|g|mg|ml/min|mm|uiu/ml,mmol/l,4,20,http://www.diabetes.co.uk/diabetes_care/blood-sugar-level-ranges.html
Glucose tolerance,oral glucose tolerance|glucose tolerance|oral glucose,grams,TEMPORAL|%|percentiu|uiu|kg/m2|kg|nmol|/|g|mg|ml/min|mm|uiu/ml,g,0,1000,
Insulin,fasting insulin|insulin glargine|insulin,uiu/ml,TEMPORAL|mg/dl|%|kg/m2,uiu/ml,0,1000,
BMI,Body mass index|BMI|Quetelet index,kg/m2|kg/m^2|kg/m\(2\)|kg\.m2|kgm-2|kg/m|lb/in2|kg|mg/kg2,TEMPORAL|%|percentiu|uiu|nmol|/|g|millimoles|ml/min,kg/m2,16,40,http://apps.who.int/bmi/index.jsp?introPage=intro_3.html
Creatinine,serum creatinine|s - creatinine|creatinine|CR,mg/dl|micromol/l|umol/l|mol/l|mmol/l|mmol|mg/g|mg/gram|m/dl|ml/min,TEMPORAL|%|percentiu|uiu|kg|nmol|/|g|mg|millimoles,mg/dl,0.4,2,http://www.webmd.com/a-to-z-guides/creatinine-and-creatinine-clearance?page=3
Creatinine ratio,Creatinine ratio,ug/mg,TMEMPORAL,ug/mg,0,1,
Creatinine clearance,creatinine clearance,ml/min,TEMPORAL|%|percentiu|uiu|kg|nmol|/|g|mg|millimoles,mg/dl,10,100,
insulin naive,insulin naive,,TEMPORAL,oads,0,100, 
BP,hypersensitivity|HYSN|hypertension|blood pressure|BP,,TEMPORAL,,0,1000,
BP-Systolic,SBP|systolic blood pressure|systolic BP|systolic,mmhg|mm hg|millimeters of mercury|mm/hg,TEMPORAL|%|percentiu|uiu|kg|nmol|g|mg|millimoles|micromol|umol|mol|mmol|beats/min,mm/hg,0,200,
BP-Diastolic,DBP|diastolic blood pressure|diastolic BP|diastolic,mmhg|mm hg|millimeters of mercury|mm/hg,TEMPORAL|%|percentiu|uiu|kg|nmol|g|mg|millimoles|micromol|umol|mol|mmol|beats/min,mm/hg,0,200,
SERUM CALCIUM,serum calcium,mg/dl,TEMPORAL|%,mg/dl,0,100,
C-peptide,fasting c-peptide|c-peptide,ng/ml,TEMPORAL,ng/ml,0,1000,
