age,age
performance status,performance status
bmi,body mass index procedure
platelet count,platelet count measurement
pressure,pressure
serum creatinine,serum creatinine level
clearance,clearance
body mass index,body mass index (bmi)
total bilirubin,total bilirubin level
ecog performance status,ecog performance status
diastolic,diastole
pulmonary,pulmonary
systolic blood pressure,systolic blood pressure measurement
prior chemotherapy,prior chemotherapy
body weight,body weight
diastolic blood pressure,diastolic blood pressure
exposure,injury due to exposure to external cause
lvef,left ventricular ejection fraction
negative pregnancy test,pregnancy test negative
ventricular ejection fraction,ventricular ejection fraction
left ventricular ejection fraction,left ventricular ejection fraction
prior treatment,prior therapy
exposure to,exposure to
prior therapy,prior therapy
visual acuity,visual acuity
heart rate,heart rate
allergy,allergy - physicians - nuccprovidercodes
pulse,pulse rate
patient characteristics,patient characteristics
hematocrit,hematocrit level
performance status 0,zubrod performance status 0
qtc interval,qtc interval
zubrod,ecog performance status
hgb,cygb gene
flow,flow
plasma glucose,plasma glucose result
lansky,lansky play-performance status
compliance,compliance
diastolic bp,diastolic blood pressure
systolic bp,systolic pressure
axis,axis
creatinine level,finding of creatinine level
contraindication,contraindication
white blood cell count,white blood cell count laboratory result
serum albumin,serum albumin
coagulation,coagulation process
vital signs,vital signs
creatinine levels,finding of creatinine level
relative,relative
qt interval,qt interval
fasting blood glucose,fasting blood sugar result
ph,ph
serum calcium,serum calcium level
implants,implants
pulse rate,pulse rate
serum creatinine level,serum creatinine level
zubrod performance status,ecog performance status
corrected visual acuity,corrected visual acuity
liver enzymes,finding of liver enzyme levels
prior chemotherapy regimens,prior chemotherapy
ideal body weight,ideal body weight
histology,histology
serum potassium,serum potassium result
blood loss,blood loss
prior immunotherapy,prior immunotherapy
diastolic pressure,diastolic blood pressure
intermediate,intermediate
prior hormonal therapy,prior hormone therapy
best corrected visual acuity,best corrected visual acuity
protein creatinine,protein/creatinine
intraocular pressure,intraocular pressure
chest pain,chest pain
origin,participation type - origin
forced vital capacity,capacity.vital.forced
exposed,exposure to
standing,standing
resistant,antimicrobial resistance result
pain score,pain score
unresectable,unresectable
composition,composition
hemoglobin level,dipstick assessment of hemoglobin concentration
diathesis,disease susceptibility
bilirubin level,bilirubin measurement
exposed to,exposure to
respiratory rate,respiratory rate
systolic pressure,systolic pressure
allergies,response to antigens
maternal,maternal
objective,objective
abi,ankle brachial index
protein creatinine ratio,protein to creatinine ratio measurement
bmd,dmd gene
cd,celiac disease
glucose level,glucose level - finding
motion,motion
positive pregnancy test,positive pregnancy test
thrombolytic,fibrinolytic agents
current smoker,current smoker
menopausal status,menopausal status
perfusion,perfusion
infectious disease,infectious disease
at birth,at birth
diffusion capacity,diffusion capacity
pr interval,pr interval feature
laboratory results,laboratory results
esr,esr1 wt allele
laboratory abnormalities,laboratory abnormalities
weight change,weight change
study duration,study duration
testosterone level,testosterone measurement
total bilirubin level,total bilirubin level
hemoglobin concentration,finding of hemoglobin concentration
fasting blood sugar,fasting blood sugar result
glucose levels,glucose level - finding
fsh levels,follicle stimulating hormone level result
vital sign,vital signs
pregnancy test result,pregnancy test result
anthracyclines,anthracyclines
wedge pressure,wedge pressure
triglyceride level,triglyceride level
fsh level,follicle stimulating hormone level result
bone mineral density,bone mineral density test
retention,retention
cylinder,cylinder
motility,motility
bilirubin levels,bilirubin measurement
urine output,urine volume finding
breaths,breaths
marker,biological markers
karyotype,karyotype
positive serology,serology positive
thrombolysis,thrombolysis function
positive urine drug screen,urine drug screen positive
sweat chloride,cystic fibrosis sweat test
pulmonary artery pressure,pulmonary artery pressure
sao2,sao2%
differentiation,differentiation
pco2,partial pressure co2 result
ecog score,ecog performance status
ankle brachial index,ankle brachial index
beta hcg,beta hcg positive
pulmonary capillary wedge pressure,pulmonary capillary wedge pressure
hemoglobin levels,dipstick assessment of hemoglobin concentration
modality,modality
blood glucose level,finding of blood glucose level
rv,residual volume
axis 1,axis 1
residual volume,residual volume
ankle-brachial index,ankle brachial index
functional status,functional status
other prior therapy,other prior therapy
cluster of differentiation,clusters of differentiation
suicidality,suicidality
glucose concentration,glucose concentration test strip measurement
albumin level,albumin level
depression score,depression score
calcium level,calcium level result
hbsag positive,hepatitis b positive sa
